review_id,product_id,date,rating,text,review_order,sentence_count,word_count,overall_text_sentiment,mean_aspect_sentiment,aspects_mentioned_count,focal_battery,focal_camera,focal_display,focal_performance,focal_build_quality,focal_price_value,focal_software,rating_normalized,prior_review_count,prior_rating_mean,prior_rating_variance,mean_env_dissonance,aged_dissonance,aged_signed_gap,prior_env_battery,prior_vol_battery,mismatch_battery,dissonance_battery,prior_env_camera,prior_vol_camera,mismatch_camera,dissonance_camera,prior_env_display,prior_vol_display,mismatch_display,dissonance_display,prior_env_performance,prior_vol_performance,mismatch_performance,dissonance_performance,prior_env_build_quality,prior_vol_build_quality,mismatch_build_quality,dissonance_build_quality,prior_env_price_value,prior_vol_price_value,mismatch_price_value,dissonance_price_value,prior_env_software,prior_vol_software,mismatch_software,dissonance_software,has_prior_history
rev_PROD-ALPHA-100_011,PROD-ALPHA-100,2025-01-30 02:00:00,5.0,Bezels are razor-thin with beautiful HDR contrast. Portrait lens creates a gorgeous creamy bokeh effect.,11,2,15,0.8625,0.6451,2,,0.6908,0.5994,,,,,1.0,10,5.0,0.0,0.11513625000000002,0.3549,0.3549,0.6232,4,,,0.5605399999999999,5,0.13026000000000004,0.13026000000000004,0.49938750000000004,8,0.1000125,0.1000125,0.50945,3,,,,0,,,0.2777833333333333,6,,,0.6997,1,,,True
rev_PROD-ALPHA-100_012,PROD-ALPHA-100,2025-01-31 21:00:00,5.0,Unbelievable value for money at this price point. Performance is blazing fast with zero lag during heavy gaming. The camera captures crisp details and punchy natural colors.,12,3,27,0.9042,0.556325,4,,0.8271,0.8271,0.0772,,0.4939,,1.0,11,5.0,0.0,0.3024541666666667,0.44367500000000004,0.44367500000000004,0.6232,4,,,0.5822499999999999,6,0.24485,0.24485,0.5105,9,0.3166,0.3166,0.50945,3,-0.43224999999999997,0.43224999999999997,,0,,,0.2777833333333333,6,0.21611666666666668,0.21611666666666668,0.6997,1,,,True
rev_PROD-ALPHA-100_013,PROD-ALPHA-100,2025-02-01 12:00:00,5.0,"Fluid UI animations, the chipset stays completely cool. Severe battery draining issue after the latest firmware patch.",13,2,17,-0.1494,0.22416666666666665,3,-0.7269,,,0.6997,,,0.6997,1.0,12,5.0,0.0,0.5494708333333332,0.7758333333333334,0.7758333333333334,0.6232,4,-1.3500999999999999,1.3500999999999999,0.6172285714285713,7,,,0.54216,10,,,0.40138749999999995,4,0.29831250000000004,0.29831250000000004,,0,,,0.3086571428571428,7,,,0.6997,1,0.0,0.0,True
rev_PROD-ALPHA-100_014,PROD-ALPHA-100,2025-02-02 10:00:00,5.0,"Charging is blazing fast with 65W, 0 to 80% in 25 minutes. Outdoor brightness is incredible, easily readable in direct sunlight.",14,2,21,0.8316,0.5991500000000001,2,0.5859,,0.6124,,,,,1.0,13,5.0,0.0,0.15148000000000006,0.40084999999999993,0.40084999999999993,0.35317999999999994,5,0.23272000000000004,0.23272000000000004,0.6172285714285713,7,,,0.54216,10,0.07024000000000008,0.07024000000000008,0.46105,5,,,,0,,,0.3086571428571428,7,,,0.6997,2,,,True
rev_PROD-ALPHA-100_015,PROD-ALPHA-100,2025-02-03 02:00:00,5.0,"Excellent battery backup, 8 hours of screen-on-time easily. Washed out colors and poor viewing angles. Fluid UI animations, the chipset stays completely cool.",15,3,23,0.8313,0.56285,4,0.7269,,0.1251,0.6997,,,0.6997,1.0,14,5.0,0.0,0.249257196969697,0.43715000000000004,0.43715000000000004,0.39196666666666663,6,0.33493333333333336,0.33493333333333336,0.6172285714285713,7,,,0.5485454545454546,11,-0.42344545454545457,0.42344545454545457,0.46105,5,0.23864999999999997,0.23864999999999997,,0,,,0.3086571428571428,7,,,0.6997,2,0.0,0.0,True
rev_PROD-ALPHA-100_016,PROD-ALPHA-100,2025-02-04 16:00:00,5.0,Portrait lens creates a gorgeous creamy bokeh effect. Washed out colors and poor viewing angles.,16,2,15,0.3818,0.10704999999999998,2,,0.6908,-0.4767,,,,,1.0,15,5.0,0.0,0.531764880952381,0.89295,0.89295,0.4398142857142857,7,,,0.6172285714285713,7,0.07357142857142862,0.07357142857142862,0.5132583333333333,12,-0.9899583333333333,0.9899583333333333,0.500825,6,,,,0,,,0.3086571428571428,7,,,0.6997,3,,,True
rev_PROD-ALPHA-100_017,PROD-ALPHA-100,2025-02-04 22:00:00,4.0,"The phone overheats during basic navigation and gaming drops fps. The battery life is stellar, easily lasting two full days on a single charge. Massively overpriced for what it offers.",17,3,30,0.7351,0.24503333333333333,3,0.7351,,,0.0,,0.0,,0.5,16,5.0,0.0,0.3682559523809523,0.2549666666666667,0.2549666666666667,0.4398142857142857,7,0.29528571428571426,0.29528571428571426,0.626425,8,,,0.43710769230769225,13,,,0.500825,6,-0.500825,0.500825,,0,,,0.3086571428571428,7,-0.3086571428571428,0.3086571428571428,0.6997,3,,,True
rev_PROD-ALPHA-100_018,PROD-ALPHA-100,2025-02-05 09:00:00,5.0,"Excellent battery backup, 8 hours of screen-on-time easily. Portrait lens creates a gorgeous creamy bokeh effect. Cheap plastic feel does not justify this premium cost.",18,3,25,0.9449,0.69172,5,0.7269,0.6908,0.7269,,0.657,0.657,,1.0,17,4.9411764705882355,0.0588235294117645,0.24781682692307694,0.30828,0.30828,0.476725,8,0.250175,0.250175,0.626425,8,0.06437499999999996,0.06437499999999996,0.43710769230769225,13,0.28979230769230774,0.28979230769230774,0.42927857142857145,7,,,,0,,,0.27007499999999995,8,0.3869250000000001,0.3869250000000001,0.6997,3,,,True
rev_PROD-ALPHA-100_019,PROD-ALPHA-100,2025-02-06 04:00:00,5.0,"Washed out colors and poor viewing angles. Fluid UI animations, the chipset stays completely cool.",19,2,15,0.4005,0.30756666666666665,3,,,-0.4767,0.6997,,,0.6997,1.0,18,4.944444444444445,0.0555555555555563,0.40164285714285713,0.6924333333333333,0.6924333333333333,0.5045222222222222,9,,,0.6335777777777778,9,,,0.4578071428571428,14,-0.9345071428571428,0.9345071428571428,0.42927857142857145,7,0.27042142857142853,0.27042142857142853,0.657,1,,,0.3130666666666666,9,,,0.6997,3,0.0,0.0,True
rev_PROD-ALPHA-100_020,PROD-ALPHA-100,2025-02-07 14:00:00,5.0,The camera captures crisp details and punchy natural colors. Unbelievable value for money at this price point.,20,2,17,0.8979,0.7160333333333333,3,,0.8271,0.8271,,,0.4939,,1.0,19,4.947368421052632,0.05263157894736992,0.2686496296296296,0.2839666666666667,0.2839666666666667,0.5045222222222222,9,,,0.6335777777777778,9,0.19352222222222215,0.19352222222222215,0.3955066666666666,15,0.43159333333333333,0.43159333333333333,0.46308125,8,,,0.657,1,,,0.3130666666666666,9,0.1808333333333334,0.1808333333333334,0.6997,4,,,True
rev_PROD-ALPHA-100_021,PROD-ALPHA-100,2025-02-09 09:00:00,2.0,"The battery life is stellar, easily lasting two full days on a single charge. Massively overpriced for what it offers.",21,2,20,0.7351,0.36755,2,0.7351,,,,,0.0,,-0.5,20,4.95,0.0499999999999994,0.28086388888888886,0.86755,-0.86755,0.5045222222222222,9,0.23057777777777777,0.23057777777777777,0.65293,10,,,0.4224812499999999,16,,,0.46308125,8,,,0.657,1,,,0.33114999999999994,10,-0.33114999999999994,0.33114999999999994,0.6997,4,,,True
rev_PROD-ALPHA-100_022,PROD-ALPHA-100,2025-02-09 19:00:00,3.0,"Display has an annoying green tint at low brightness levels. Fluid UI animations, the chipset stays completely cool.",22,2,18,0.5563,0.36779999999999996,3,,,-0.296,0.6997,,,0.6997,0.0,21,4.809523809523809,0.46190476190476204,0.31836666666666663,0.36779999999999996,-0.36779999999999996,0.52758,10,,,0.65293,10,,,0.4224812499999999,16,-0.71848125,0.71848125,0.46308125,8,0.23661875,0.23661875,0.657,1,,,0.3010454545454545,11,,,0.6997,4,0.0,0.0,True
rev_PROD-ALPHA-100_023,PROD-ALPHA-100,2025-02-11 07:00:00,2.0,Noticeable lag when switching apps and intense thermal throttling. Affordable budget device with flagship-grade features.,23,2,15,-0.7506,-0.3753,2,,,,-0.7506,,0.0,,-0.5,22,4.7272727272727275,0.5887445887445892,0.7705088383838383,0.12469999999999998,-0.12469999999999998,0.52758,10,,,0.65293,10,,,0.38021764705882344,17,,,0.4893722222222222,9,-1.2399722222222223,1.2399722222222223,0.657,1,,,0.3010454545454545,11,-0.3010454545454545,0.3010454545454545,0.6997,5,,,True
rev_PROD-ALPHA-100_024,PROD-ALPHA-100,2025-02-12 15:00:00,3.0,The charger gets alarmingly warm and the phone dies by afternoon. Unbelievable value for money at this price point. Noticeable lag when switching apps and intense thermal throttling.,24,3,28,-0.7096,-0.16141666666666668,3,-0.4019,,,-0.57625,,0.4939,,0.0,23,4.608695652173913,0.885375494071145,0.6963488888888888,0.16141666666666668,0.16141666666666668,0.52758,10,-0.9294800000000001,0.9294800000000001,0.65293,10,,,0.38021764705882344,17,,,0.365375,10,-0.941625,0.941625,0.657,1,,,0.2759583333333333,12,0.2179416666666667,0.2179416666666667,0.6997,5,,,True
rev_PROD-ALPHA-100_025,PROD-ALPHA-100,2025-02-14 01:00:00,2.0,Noticeable lag when switching apps and intense thermal throttling. The camera captures crisp details and punchy natural colors.,25,2,18,0.3182,0.30119999999999997,3,,0.8271,0.8271,-0.7506,,,,-0.5,24,4.541666666666667,0.9547101449275354,0.5504750267379679,0.8011999999999999,-0.8011999999999999,0.4430818181818182,11,,,0.65293,10,0.17416999999999994,0.17416999999999994,0.38021764705882344,17,0.4468823529411765,0.4468823529411765,0.2797727272727273,11,-1.0303727272727272,1.0303727272727272,0.657,1,,,0.2927230769230769,13,,,0.6997,5,,,True
rev_PROD-ALPHA-100_026,PROD-ALPHA-100,2025-02-15 18:00:00,2.0,"The battery life is stellar, easily lasting two full days on a single charge. Cheap plastic feel does not justify this premium cost.",26,2,23,0.8904,0.6830333333333334,3,0.7351,,,,0.657,0.657,,-0.5,25,4.44,1.1733333333333344,0.21876503496503497,1.1830333333333334,-1.1830333333333334,0.4430818181818182,11,0.2920181818181818,0.2920181818181818,0.6687636363636363,11,,,0.4050444444444443,18,,,0.19390833333333335,12,,,0.657,1,0.0,0.0,0.2927230769230769,13,0.3642769230769231,0.3642769230769231,0.6997,5,,,True
rev_PROD-ALPHA-100_027,PROD-ALPHA-100,2025-02-16 13:00:00,3.0,"The charger gets alarmingly warm and the phone dies by afternoon. The shutter lag makes it impossible to capture moving kids or pets. Terrible stuttering in the UI, feels slow and unoptimized.",27,3,32,-0.891,-0.5112333333333333,3,-0.4019,,,-0.47209999999999996,,,-0.6597,0.0,26,4.346153846153846,1.3553846153846143,0.9649083333333333,0.5112333333333333,0.5112333333333333,0.46741666666666665,12,-0.8693166666666666,0.8693166666666666,0.6687636363636363,11,,,0.4050444444444443,18,,,0.19390833333333335,12,-0.6660083333333333,0.6660083333333333,0.657,2,,,0.3187428571428571,14,,,0.6997,5,-1.3594,1.3594,True
rev_PROD-ALPHA-100_028,PROD-ALPHA-100,2025-02-18 06:00:00,1.0,Camera photos look washed out and blurry in low light. Worth every single penny spent on this purchase. The phone overheats during basic navigation and gaming drops fps.,28,3,28,-0.4939,-0.13286666666666666,3,,-0.6249,,0.0,,0.2263,,-1.0,27,4.296296296296297,1.37037037037037,0.5095944721944722,0.8671333333333333,-0.8671333333333333,0.40054615384615383,13,,,0.6687636363636363,11,-1.2936636363636365,1.2936636363636365,0.4050444444444443,18,,,0.1426769230769231,13,-0.1426769230769231,0.1426769230769231,0.657,2,,,0.3187428571428571,14,-0.0924428571428571,0.0924428571428571,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_029,PROD-ALPHA-100,2025-02-18 15:00:00,4.0,"Unbelievable value for money at this price point. The camera captures crisp details and punchy natural colors. Excellent battery backup, 8 hours of screen-on-time easily.",29,3,25,0.9517,0.7062249999999999,4,0.7269,0.8271,0.7769999999999999,,,0.4939,,0.5,28,4.178571428571429,1.7076719576719568,0.28644276709401706,0.20622499999999988,-0.20622499999999988,0.40054615384615383,13,0.32635384615384616,0.32635384615384616,0.5609583333333333,12,0.2661416666666666,0.2661416666666666,0.4050444444444443,18,0.3719555555555556,0.3719555555555556,0.1324857142857143,14,,,0.657,2,,,0.31257999999999997,15,0.18132000000000004,0.18132000000000004,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_030,PROD-ALPHA-100,2025-02-19 22:00:00,5.0,"Unbelievable value for money at this price point. Night mode is magical, crisp photos even in dim lighting.",30,2,18,0.7506,0.4939,2,,0.4939,,,,0.4939,,1.0,29,4.172413793103448,1.6477832512315262,0.1287591346153846,0.5061,0.5061,0.4238571428571428,14,,,0.5814307692307692,13,-0.08753076923076919,0.08753076923076919,0.42462105263157884,19,,,0.1324857142857143,14,,,0.657,2,,,0.3239125,16,0.1699875,0.1699875,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_031,PROD-ALPHA-100,2025-02-20 20:00:00,2.0,"Display has an annoying green tint at low brightness levels. Night mode is magical, crisp photos even in dim lighting.",31,2,20,0.25,0.09895000000000001,2,,0.4939,-0.296,,,,,-0.5,30,4.2,1.6137931034482742,0.40094981203007507,0.59895,-0.59895,0.4238571428571428,14,,,0.5751785714285713,14,-0.08127857142857131,0.08127857142857131,0.42462105263157884,19,-0.7206210526315788,0.7206210526315788,0.1324857142857143,14,,,0.657,2,,,0.33391176470588235,17,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_032,PROD-ALPHA-100,2025-02-21 22:00:00,4.0,"Excellent battery backup, 8 hours of screen-on-time easily. Performance is blazing fast with zero lag during heavy gaming.",32,2,18,0.7506,0.5103333333333333,3,0.7269,,0.7269,0.0772,,,,0.5,31,4.129032258064516,1.716129032258065,0.2322128571428572,0.010333333333333306,-0.010333333333333306,0.4238571428571428,14,0.30304285714285717,0.30304285714285717,0.5697599999999999,15,,,0.3885899999999999,20,0.3383100000000001,0.3383100000000001,0.1324857142857143,14,-0.055285714285714285,0.055285714285714285,0.657,2,,,0.33391176470588235,17,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_033,PROD-ALPHA-100,2025-02-23 12:00:00,2.0,"Night mode is magical, crisp photos even in dim lighting. Screen scratches way too easily and refresh rate drops to 60Hz randomly. Excellent battery backup, 8 hours of screen-on-time easily.",33,3,30,0.8934,0.5235625,4,0.7269,0.4939,0.53345,,0.34,,,-0.5,32,4.125,1.6612903225806452,0.20111250000000003,1.0235625000000002,-1.0235625000000002,0.44405999999999995,15,0.28284000000000004,0.28284000000000004,0.5697599999999999,15,-0.07585999999999993,0.07585999999999993,0.4046999999999999,21,0.1287500000000001,0.1287500000000001,0.1288,15,,,0.657,2,-0.317,0.317,0.33391176470588235,17,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_034,PROD-ALPHA-100,2025-02-25 09:00:00,5.0,Unbelievable value for money at this price point. The 120Hz AMOLED display is silky smooth and vibrant.,34,2,17,0.765,0.5157666666666666,3,,,0.5267,0.5267,,0.4939,,1.0,33,4.0606060606060606,1.746212121212121,0.2246786541889483,0.4842333333333334,0.4842333333333334,0.4617374999999999,16,,,0.5650187499999999,16,,,0.4105522727272726,22,0.11614772727272732,0.11614772727272732,0.1288,15,0.3978999999999999,0.3978999999999999,0.5513333333333333,3,,,0.33391176470588235,17,0.15998823529411765,0.15998823529411765,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_035,PROD-ALPHA-100,2025-02-25 22:00:00,1.0,Poor value proposition compared to competing devices. The shutter lag makes it impossible to capture moving kids or pets.,35,2,19,-0.6369,-0.3601,2,,,,-0.5423,,-0.1779,,-1.0,34,4.088235294117647,1.7192513368983962,0.608334375,0.6399,-0.6399,0.4617374999999999,16,,,0.5650187499999999,16,,,0.4156021739130434,23,,,0.15366875000000002,16,-0.69596875,0.69596875,0.5513333333333333,3,,,0.3428,18,-0.5206999999999999,0.5206999999999999,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_036,PROD-ALPHA-100,2025-02-27 20:00:00,1.0,Unbelievable value for money at this price point. The phone overheats during basic navigation and gaming drops fps. The camera captures crisp details and punchy natural colors.,36,3,27,0.8979,0.537025,4,,0.8271,0.8271,0.0,,0.4939,,-1.0,35,4.0,1.9411764705882353,0.24120343775238934,1.5370249999999999,-1.5370249999999999,0.4617374999999999,16,,,0.5650187499999999,16,0.26208125000000004,0.26208125000000004,0.4156021739130434,23,0.41149782608695656,0.41149782608695656,0.1127294117647059,17,-0.1127294117647059,0.1127294117647059,0.5513333333333333,3,,,0.3153947368421052,19,0.17850526315789478,0.17850526315789478,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_037,PROD-ALPHA-100,2025-02-28 23:00:00,4.0,Bezels are razor-thin with beautiful HDR contrast. Portrait lens creates a gorgeous creamy bokeh effect.,37,2,15,0.8625,0.6451,2,,0.6908,0.5994,,,,,0.5,36,3.9166666666666665,2.1357142857142857,0.13850839460784325,0.1451,-0.1451,0.4617374999999999,16,,,0.5804352941176469,17,0.11036470588235303,0.11036470588235303,0.43274791666666657,24,0.16665208333333348,0.16665208333333348,0.10646666666666668,18,,,0.5513333333333333,3,,,0.32432,20,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_038,PROD-ALPHA-100,2025-03-01 12:00:00,4.0,"Portrait lens creates a gorgeous creamy bokeh effect. Charging is blazing fast with 65W, 0 to 80% in 25 minutes.",38,2,20,0.8591,0.63835,2,0.5859,0.6908,,,,,,0.5,37,3.918918918918919,2.076576576576577,0.11419791666666673,0.13834999999999997,-0.13834999999999997,0.4617374999999999,16,0.12416250000000006,0.12416250000000006,0.5865666666666666,18,0.1042333333333334,0.1042333333333334,0.43941399999999986,25,,,0.10646666666666668,18,,,0.5513333333333333,3,,,0.32432,20,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_039,PROD-ALPHA-100,2025-03-01 20:00:00,3.0,"Display has an annoying green tint at low brightness levels. Charging is blazing fast with 65W, 0 to 80% in 25 minutes. Night mode is magical, crisp photos even in dim lighting.",39,3,32,0.7003,0.2612666666666667,3,0.5859,0.4939,-0.296,,,,,0.0,38,3.9210526315789473,2.0206258890469426,0.31680848503611964,0.2612666666666667,-0.2612666666666667,0.46904117647058813,17,0.11685882352941185,0.11685882352941185,0.5920526315789472,19,-0.09815263157894716,0.09815263157894716,0.43941399999999986,25,-0.7354139999999998,0.7354139999999998,0.10646666666666668,18,,,0.5513333333333333,3,,,0.32432,20,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_040,PROD-ALPHA-100,2025-03-02 11:00:00,2.0,The camera captures crisp details and punchy natural colors. Cheap plastic feel does not justify this premium cost.,40,2,18,0.9197,0.74205,4,,0.8271,0.8271,,0.657,0.657,,-0.5,39,3.8974358974358974,1.9892037786774615,0.2735682051282052,1.2420499999999999,-1.2420499999999999,0.4755333333333332,18,,,0.5871449999999998,20,0.23995500000000014,0.23995500000000014,0.41112884615384604,26,0.4159711538461539,0.4159711538461539,0.10646666666666668,18,,,0.5513333333333333,3,0.10566666666666669,0.10566666666666669,0.32432,20,0.33268000000000003,0.33268000000000003,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_041,PROD-ALPHA-100,2025-03-04 11:00:00,2.0,The 120Hz AMOLED display is silky smooth and vibrant. Camera photos look washed out and blurry in low light.,41,2,19,-0.1779,0.14283333333333328,3,,-0.6249,0.5267,0.5267,,,,-0.5,40,3.85,2.028205128205129,0.5812898589065255,0.6428333333333333,-0.6428333333333333,0.4755333333333332,18,,,0.5985714285714284,21,-1.2234714285714285,1.2234714285714285,0.4265351851851851,27,0.10016481481481487,0.10016481481481487,0.10646666666666668,18,0.42023333333333324,0.42023333333333324,0.57775,4,,,0.3401619047619048,21,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_042,PROD-ALPHA-100,2025-03-05 07:00:00,1.0,Noticeable lag when switching apps and intense thermal throttling. Washed out colors and poor viewing angles.,42,2,16,-0.8591,-0.61365,2,,,-0.4767,-0.7506,,,,-1.0,41,3.8048780487804876,2.060975609756099,0.892998355263158,0.38634999999999997,-0.38634999999999997,0.4755333333333332,18,,,0.5429590909090908,22,,,0.4301124999999999,28,-0.9068124999999999,0.9068124999999999,0.1285842105263158,19,-0.8791842105263159,0.8791842105263159,0.57775,4,,,0.3401619047619048,21,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_043,PROD-ALPHA-100,2025-03-06 14:00:00,1.0,Washed out colors and poor viewing angles. Severe battery draining issue after the latest firmware patch. Camera photos look washed out and blurry in low light.,43,3,26,-0.9231,-0.6095,3,-0.7269,-0.6249,-0.4767,,,,,-1.0,42,3.738095238095238,2.1980255516840876,1.0819451758969,0.39049999999999996,-0.39049999999999996,0.4755333333333332,18,-1.2024333333333332,1.2024333333333332,0.5429590909090908,22,-1.167859090909091,1.167859090909091,0.3988431034482758,29,-0.8755431034482758,0.8755431034482758,0.08462500000000002,20,,,0.57775,4,,,0.3401619047619048,21,,,0.47313333333333335,6,,,True
rev_PROD-ALPHA-100_044,PROD-ALPHA-100,2025-03-07 12:00:00,2.0,Poor value proposition compared to competing devices. Washed out colors and poor viewing angles.,44,2,14,-0.5859,-0.32730000000000004,2,,,-0.4767,,,-0.1779,,-0.5,43,3.6744186046511627,2.3200442967884833,0.6822101190476191,0.17269999999999996,-0.17269999999999996,0.41224736842105253,19,,,0.492182608695652,23,,,0.3696583333333333,30,-0.8463583333333333,0.8463583333333333,0.08462500000000002,20,,,0.57775,4,,,0.3401619047619048,21,-0.5180619047619048,0.5180619047619048,0.47313333333333335,6,,,True
